Season,MatchID,DateUTC,Round,Home,Away,Side,Team,Formation,StarterNo,PlayerID,Player,FirstName,LastName,PositionID,UsualPlayingPositionID,ShirtNumber,Age,CountryName,CountryCode,IsCaptain,MarketValue,Rating,CanonicalURL
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,3,672840,Luiz Felipe,Luiz,Felipe,34,1,3,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,4,73024,Francesco Acerbi,Francesco,Acerbi,36,1,33,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,5,293160,Elseid Hysaj,Elseid,Hysaj,38,1,23,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,6,463301,Sergej Milinkovic-Savic,Sergej,Milinkovic-Savic,73,2,21,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,7,95327,Lucas Leiva,Lucas,Leiva,75,2,6,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,8,279879,Jean-Daniel Akpa-Akpro,Jean-Daniel,Akpa-Akpro,77,2,8,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,9,230190,Felipe Anderson,Felipe,Anderson,103,3,7,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,10,161660,Ciro Immobile,Ciro,Immobile,105,3,17,,,,True,,,https://www.fotmob.com/match/3656993
2021-22,3656993,2021-08-21T18:45:00Z,1,Empoli,Lazio,Away,Lazio,4-3-3,11,150250,Pedro Rodriguez,Pedro,Rodriguez,107,3,9,,,,False,,,https://www.fotmob.com/match/3656993
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,1,543021,Vanja Milinkovic-Savic,Vanja,Milinkovic-Savic,11,0,32,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,2,303155,Koffi Djidji,Koffi,Djidji,33,1,26,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,3,857269,Gleison Bremer,Gleison,Bremer,35,1,3,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,4,115591,Ricardo Rodriguez,Ricardo,Rodriguez,37,1,13,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,5,1027472,Wilfried Singo,Wilfried,Singo,72,1,17,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,6,556972,Sasa Lukic,Sasa,Lukic,74,2,10,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,7,577911,Rolando Mandragora,Rolando,Mandragora,76,2,38,,,,True,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,8,682548,Ola Aina,Ola,Aina,78,1,34,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,9,361403,Karol Linetty,Karol,Linetty,94,2,77,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,10,307235,Marko Pjaca,Marko,Pjaca,96,3,11,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Home,Torino,3-4-2-1,11,474448,Antonio Sanabria,Antonio,Sanabria,115,3,19,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,1,389050,Juan Musso,Juan,Musso,11,0,1,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,2,260964,Berat Djimsiti,Berat,Djimsiti,33,1,19,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,3,823078,Merih Demiral,Merih,Demiral,35,1,28,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,4,185625,José Luis Palomino,José Luis,Palomino,37,1,6,,,,True,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,5,759097,Joakim Mæhle,Joakim,Mæhle,72,1,3,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,6,446266,Mario Pasalic,Mario,Pasalic,74,2,88,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,7,566654,Matteo Pessina,Matteo,Pessina,76,2,32,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,8,518346,Robin Gosens,Robin,Gosens,78,2,8,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,9,147951,Josip Ilicic,Josip,Ilicic,95,2,72,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,10,459658,Ruslan Malinovsky,Ruslan,Malinovsky,114,2,18,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656999,2021-08-21T18:45:00Z,1,Torino,Atalanta,Away,Atalanta,3-4-1-2,11,196484,Luis Muriel,Luis,Muriel,116,3,9,,,,False,,,https://www.fotmob.com/match/3656999
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,1,178732,Lukasz Skorupski,Lukasz,Skorupski,11,0,28,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,2,25587,Lorenzo De Silvestri,Lorenzo,De Silvestri,32,1,29,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,3,49970,Gary Medel,Gary,Medel,34,2,17,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,4,521902,Kevin Bonifazi,Kevin,Bonifazi,36,1,4,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,5,1002039,Aaron Hickey,Aaron,Hickey,38,1,3,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,6,827315,Nicolás Dominguez,Nicolás,Dominguez,64,2,8,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,7,772104,Jerdy Schouten,Jerdy,Schouten,66,2,30,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,8,661761,Riccardo Orsolini,Riccardo,Orsolini,83,3,7,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,9,181995,Roberto Soriano,Roberto,Soriano,85,3,21,,,,True,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,10,910699,Musa Barrow,Musa,Barrow,87,3,99,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Home,Bologna,4-2-3-1,11,110148,Marko Arnautovic,Marko,Arnautovic,115,3,9,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,1,181911,Vid Belec,Vid,Belec,11,0,72,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,2,291655,Norbert Gyömbér,Norbert,Gyömbér,33,1,23,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,3,29823,Stefan Strandberg,Stefan,Strandberg,35,1,6,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,4,480964,Pawel Jaroszynski,Pawel,Jaroszynski,37,2,4,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,5,846248,Wajdi Kechrida,Wajdi,Kechrida,71,1,24,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,6,833024,Mamadou Coulibaly,Mamadou,Coulibaly,73,2,2,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,7,664587,Lassana Coulibaly,Lassana,Coulibaly,75,2,18,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,8,369779,Leonardo Capezzi,Leonardo,Capezzi,77,2,28,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,9,1051097,Matteo Ruggeri,Matteo,Ruggeri,79,1,3,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,10,543306,Federico Bonazzoli,Federico,Bonazzoli,104,3,9,,,,False,,,https://www.fotmob.com/match/3656991
2021-22,3656991,2021-08-22T16:30:00Z,1,Bologna,Salernitana,Away,Salernitana,3-5-2,11,108381,Milan Djuric,Milan,Djuric,106,3,11,,,,True,,,https://www.fotmob.com/match/3656991
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,1,165952,Marco Silvestri,Marco,Silvestri,11,0,1,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,2,844504,Rodrigo Becao,Rodrigo,Becao,33,1,50,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,3,178758,Bram Nuytinck,Bram,Nuytinck,35,1,17,,,,True,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,4,453324,Samir,,Samir,37,1,3,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,5,726345,Nahuel Molina,Nahuel,Molina,71,1,16,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,6,178781,Tolgay Arslan,Tolgay,Arslan,73,2,5,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,7,538540,Walace,,Walace,75,2,11,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,8,699461,Jean-Victor Makengo,Jean-Victor,Makengo,77,2,6,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,9,1052898,Iyenoma Udogie,Iyenoma,Udogie,79,1,13,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,10,210278,Roberto Pereyra,Roberto,Pereyra,95,2,37,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Home,Udinese,3-5-1-1,11,470847,Ignacio Pussetto,Ignacio,Pussetto,115,3,23,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Away,Juventus,4-4-2,1,169718,Wojciech Szczesny,Wojciech,Szczesny,11,0,1,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Away,Juventus,4-4-2,2,208077,Danilo,,Danilo,32,1,6,,,,False,,,https://www.fotmob.com/match/3657000
2021-22,3657000,2021-08-22T16:30:00Z,1,Udinese,Juventus,Away,Juventus,4-4-2,3,769895,Matthijs de Ligt,Matthijs,de Ligt,34,1,4,,,,False,,,https://www.fotmob.com/match/3657000
